"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"16430.25","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","16438","0.0-0.0","j8d4trrh","","","","","","","",""
"1310194.065","","","instructions","1","1326635","0.0-1.0","j8d4trrh","[{""page_index"":0,""viewing_time"":1310193.91}]","","","","","","",""
"8738.285000000149","{""Age"":3,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","1335376","0.0-2.0","j8d4trrh","","","","","","","",""
"1279.1800000001676","","","instructions","3","1336655","0.0-3.0","j8d4trrh","[{""page_index"":0,""viewing_time"":1279.0800000000745}]","","","","","","",""
"8967.665000000037","","","instructions","4","1345623","0.0-4.0","j8d4trrh","[{""page_index"":0,""viewing_time"":97.89999999990687},{""page_index"":1,""viewing_time"":969.8700000001118},{""page_index"":0,""viewing_time"":1475.094999999972},{""page_index"":1,""viewing_time"":3926.8000000000466},{""page_index"":2,""viewing_time"":2497.875}]","","","","","","",""
"1570.869999999879","","","instructions","5","1347195","0.0-5.0","j8d4trrh","[{""page_index"":0,""viewing_time"":1570.7600000000093}]","","","","","","",""
"null","","","video-keyboard-response","6","1350270","0.0-6.0","j8d4trrh","","","null","","","","",""
"31103.194999999832","","","instructions","7","1381374","0.0-7.0","j8d4trrh","[{""page_index"":0,""viewing_time"":3570.024999999907},{""page_index"":1,""viewing_time"":8872.169999999925},{""page_index"":2,""viewing_time"":69.375},{""page_index"":3,""viewing_time"":5802.725000000093},{""page_index"":4,""viewing_time"":1844.5449999999255},{""page_index"":5,""viewing_time"":3663.4950000001118},{""page_index"":6,""viewing_time"":5585.020000000019},{""page_index"":7,""viewing_time"":1695.714999999851}]","","","","","","",""
"4691.760000000009","","","instructions","8","1386066","0.0-8.0","j8d4trrh","[{""page_index"":0,""viewing_time"":4691.514999999898}]","","","","","","",""
"1303.7749999999069","","","instructions","9","1387370","0.0-9.0","j8d4trrh","[{""page_index"":0,""viewing_time"":1303.6650000000373}]","","","","","","",""
"","","","call-function","10","1387371","0.0-10.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","11","1388873","0.0-11.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","1391942","0.0-12.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592298.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","1393446","0.0-13.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","1396522","0.0-14.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1592298.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","1396522","0.0-15.0","j8d4trrh","","","","","","","",""
"2581.969999999972","","","categorize-html","16","1401111","0.0-16.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","17","1401613","0.0-17.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","18","1401614","0.0-18.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","19","1403119","0.0-19.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","1406197","0.0-20.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1159592.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","1407701","0.0-21.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","1410777","0.0-22.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1159592.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","1410777","0.0-23.0","j8d4trrh","","","","","","","",""
"1277.4099999999162","","","categorize-html","24","1414060","0.0-24.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","25","1414563","0.0-25.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","26","1414563","0.0-26.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","27","1416070","0.0-27.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","28","1419147","0.0-28.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1159621.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","29","1420651","0.0-29.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","30","1423715","0.0-30.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1159621.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","31","1423715","0.0-31.0","j8d4trrh","","","","","","","",""
"4219.895000000019","","","categorize-html","32","1429942","0.0-32.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","33","1430446","0.0-33.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","34","1430446","0.0-34.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","35","1431948","0.0-35.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","36","1435044","0.0-36.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713684.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","37","1436548","0.0-37.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","38","1439633","0.0-38.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713684.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","39","1439633","0.0-39.0","j8d4trrh","","","","","","","",""
"2341.6750000000466","","","categorize-html","40","1443979","0.0-40.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","41","1444485","0.0-41.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","42","1444485","0.0-42.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","43","1445988","0.0-43.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","44","1449073","0.0-44.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713796.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","45","1450575","0.0-45.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","46","1453670","0.0-46.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713796.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","47","1453671","0.0-47.0","j8d4trrh","","","","","","","",""
"1400.2299999999814","","","categorize-html","48","1457078","0.0-48.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","49","1457582","0.0-49.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","50","1457582","0.0-50.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","51","1459085","0.0-51.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","52","1462181","0.0-52.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/497926.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","53","1463683","0.0-53.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","54","1466788","0.0-54.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/497926.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","55","1466788","0.0-55.0","j8d4trrh","","","","","","","",""
"3066.725000000093","","","categorize-html","56","1471858","0.0-56.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","57","1472361","0.0-57.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","58","1472362","0.0-58.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","59","1473865","0.0-59.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","60","1476941","0.0-60.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713620.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","61","1478446","0.0-61.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","62","1481508","0.0-62.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713620.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","63","1481508","0.0-63.0","j8d4trrh","","","","","","","",""
"1603.1450000000186","","","categorize-html","64","1485114","0.0-64.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","65","1485619","0.0-65.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","66","1485620","0.0-66.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","67","1487122","0.0-67.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","68","1490182","0.0-68.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/286034.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","69","1491683","0.0-69.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","70","1494742","0.0-70.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/286034.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","71","1494743","0.0-71.0","j8d4trrh","","","","","","","",""
"3760.1699999999255","","","categorize-html","72","1500510","0.0-72.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","73","1501016","0.0-73.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","74","1501016","0.0-74.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","75","1502519","0.0-75.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","76","1505624","0.0-76.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713211.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","77","1507128","0.0-77.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","78","1510217","0.0-78.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713211.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","79","1510217","0.0-79.0","j8d4trrh","","","","","","","",""
"2253.564999999944","","","categorize-html","80","1514474","0.0-80.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","81","1514981","0.0-81.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","82","1514981","0.0-82.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","83","1516484","0.0-83.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","84","1519581","0.0-84.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1592303.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","85","1521085","0.0-85.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","86","1524182","0.0-86.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592303.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","87","1524182","0.0-87.0","j8d4trrh","","","","","","","",""
"9713.089999999851","","","categorize-html","88","1535901","0.0-88.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","89","1536406","0.0-89.0","j8d4trrh",""," ","null","","","","",""
"7612.685000000056","","","instructions","90","1544019","0.0-90.0","j8d4trrh","[{""page_index"":0,""viewing_time"":5344.51500000013},{""page_index"":1,""viewing_time"":1497.0699999998324},{""page_index"":2,""viewing_time"":770.875}]","","","","","","",""
"7197.569999999832","","","instructions","91","1551217","0.0-91.0","j8d4trrh","[{""page_index"":0,""viewing_time"":3709.029999999795},{""page_index"":1,""viewing_time"":2614.465000000084},{""page_index"":2,""viewing_time"":873.9650000000838}]","","","","","","",""
"","","","call-function","92","1551217","0.0-92.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","93","1552722","0.0-93.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","94","1555781","0.0-94.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1592378.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","95","1557285","0.0-95.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","96","1560350","0.0-96.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592378.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","97","1560351","0.0-97.0","j8d4trrh","","","","","","","",""
"12248.719999999972","","","categorize-html","98","1574601","0.0-98.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","99","1575103","0.0-99.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","100","1575103","0.0-100.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","101","1576607","0.0-101.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","102","1579674","0.0-102.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/498079.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","103","1581179","0.0-103.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","104","1584247","0.0-104.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/498079.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","105","1584248","0.0-105.0","j8d4trrh","","","","","","","",""
"2055.25","","","categorize-html","106","1588306","0.0-106.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","107","1588810","0.0-107.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","108","1588811","0.0-108.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","109","1590317","0.0-109.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","110","1593427","0.0-110.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1592727.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","111","1594932","0.0-111.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","112","1598018","0.0-112.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592727.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","113","1598019","0.0-113.0","j8d4trrh","","","","","","","",""
"1588.5849999999627","","","categorize-html","114","1601609","0.0-114.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","115","1602115","0.0-115.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","116","1602115","0.0-116.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","117","1603618","0.0-117.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","118","1606703","0.0-118.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/498032.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","119","1608206","0.0-119.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","120","1611302","0.0-120.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/498032.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","121","1611303","0.0-121.0","j8d4trrh","","","","","","","",""
"1328.619999999879","","","categorize-html","122","1614634","0.0-122.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","123","1615140","0.0-123.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","124","1615140","0.0-124.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","125","1616643","0.0-125.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","126","1619710","0.0-126.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592817.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","127","1621212","0.0-127.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","128","1624274","0.0-128.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1592817.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","129","1624274","0.0-129.0","j8d4trrh","","","","","","","",""
"589.2650000001304","","","categorize-html","130","1626869","0.0-130.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","131","1627371","0.0-131.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","132","1627372","0.0-132.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","133","1628878","0.0-133.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","134","1631975","0.0-134.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1160152.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","135","1633477","0.0-135.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","136","1636572","0.0-136.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1160152.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","137","1636572","0.0-137.0","j8d4trrh","","","","","","","",""
"1523.1599999999162","","","categorize-html","138","1640101","0.0-138.0","j8d4trrh","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","139","1640606","0.0-139.0","j8d4trrh",""," ","null","","","","",""
"","","","call-function","140","1640606","0.0-140.0","j8d4trrh","","","","","","","",""
"null","","","html-keyboard-response","141","1642113","0.0-141.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","142","1645191","0.0-142.0","j8d4trrh","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592519.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","143","1646695","0.0-143.0","j8d4trrh","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
